<s><s> 

Table:
0,1
Season,2024–25
Dates,16 August 2024 – 25 May 2025
Relegated,Southampton
Matches played,312
Goals scored,925 (2.<s> Liverpool is currently at the top of the latest Premier League season.96 per match)
Top goalscorer,Mohamed Salah (27 goals)
Biggest home win,Nottingham Forest 7–0 Brighton & Hove Albion (1 February 2025)
Biggest away win,Ipswich Town 0–6 Manchester City (19 January 2025)
Highest scoring,Tottenham Hotspur 3–6 Liverpool (22 December 2024)
Longest winning run,6 matches Newcastle United Nottingham Forest
Longest unbeaten run,26 matches Liverpool
Longest winless run,13 matches Southampton
Longest losing run,8 matches Leicester City
Highest attendance,"73,829 Manchester United 3–0 Leicester City (10 November 2024)"
Lowest attendance,"11,129 Bournemouth 0–0 Crystal Palace (26 December 2024)"
Total attendance,12450451
Average attendance,40424
← 2023–24 2025–26 → All statistics correct as of 7 April 2025.,← 2023–24 2025–26 → All statistics correct as of 7 April 2025. The 2024–25 Premier League is the 33rd season of the Premier League and the 126th season of top-flight English football overall. Manchester City entered the season as four-time defending champions, the first men's side to do so in the top flight of English football. The fixtures were released on 18 June 2024, consisting of 33 weekend rounds, four midweek rounds, and one Bank Holiday matchweek. The two-week winter break, in effect since the 2019–20 season, was scrapped starting this season in favour of a longer summer break for the players. Longer intervals between matches were added for the holiday period between Christmas and New Year's Day, with no matches held on Christmas Eve. The summer transfer window opened on 14 June 2024 and closed at 23:00 BST on 30 August 2024. The winter window opened on 1 January 2025 and closed at 23:00 GMT on 3 February 2025. This is also the last season the Nike sponsor match ball for the top flight is used, Puma are set to become the official ball supplier of the top flight starting from the 2025–26 season. This season is the first to use semi-automated offside technology, as Premier League clubs unanimously agreed to its introduction. The technology was planned to be introduced after one of the autumn international breaks, but was delayed to further test the technology. It was tested in the FA Cup fifth round onwards, after which the Premier League confirmed that the technology would be used in matchweek 32, on 12 April 2025. The Etihad Stadium was the first to officially use the technology, when Manchester City faced Crystal Palace. == Season summary ==
The first managerial departure of the season came on 28 October 2024, when Manchester United sacked Erik ten Hag following a 2–1 defeat to West Ham United. The club sat in 14th place after nine games, having already suffered their fourth defeat of the season. Ruben Amorim was announced as his successor on 1 November and took charge on 11 November. Defending champions Manchester City suffered four successive league defeats, their worst run since 2008, as part of a winless run of seven matches in all competitions, including a 0–4 home loss to Tottenham Hotspur on 23 November 2024. The second managerial departure came on 24 November, when Leicester City sacked Steve Cooper following a 1–2 home loss to Chelsea. The club sat in 16th place at the time and one point above the relegation zone, having already suffered their sixth loss of the season and having managed only two wins from 12 games. On 29
